Query_ID	Doc_ID	Rank	Score
1	1313	1	15.333333333333334
1	798	2	15.0
1	131	3	14.999999999999998
1	792	4	14.666666666666668
1	1147	5	14.333333333333334
1	1144	6	12.666666666666668
1	640	7	12.666666666666666
1	262	8	11.999999999999998
1	717	9	11.666666666666664
1	14	10	11.666666666666664
1	244	11	11.333333333333332
1	576	12	11.333333333333332
1	826	13	11.333333333333332
1	1047	14	11.0
1	89	15	10.666666666666668
1	927	16	10.666666666666668
1	1201	17	10.666666666666666
1	928	18	10.666666666666666
1	499	19	10.666666666666666
1	721	20	10.333333333333334
2	1201	1	55.99999999999999
2	798	2	51.33333333333333
2	1313	3	46.33333333333333
2	329	4	41.0
2	927	5	35.0
2	792	6	34.333333333333336
2	417	7	33.0
2	89	8	33.0
2	499	9	32.33333333333333
2	673	10	32.0
2	452	11	31.666666666666664
2	1040	12	31.33333333333333
2	721	13	30.666666666666668
2	94	14	30.33333333333333
2	131	15	29.666666666666664
2	1239	16	29.666666666666664
2	73	17	29.333333333333332
2	1147	18	29.0
2	1144	19	28.333333333333332
2	160	20	28.0
3	798	1	19.666666666666664
3	329	2	17.333333333333332
3	826	3	17.333333333333332
3	131	4	17.0
3	1313	5	16.666666666666664
3	927	6	15.666666666666668
3	1201	7	15.333333333333332
3	89	8	15.0
3	225	9	14.0
3	49	10	14.0
3	792	11	13.666666666666666
3	262	12	13.666666666666666
3	1040	13	13.666666666666666
3	499	14	13.666666666666666
3	1147	15	13.333333333333332
3	73	16	13.333333333333332
3	662	17	13.0
3	1047	18	12.999999999999998
3	695	19	12.999999999999998
3	344	20	12.999999999999998
4	1313	1	59.333333333333336
4	798	2	54.0
4	1201	3	52.666666666666664
4	329	4	45.333333333333336
4	417	5	40.99999999999999
4	1239	6	40.0
4	1040	7	38.99999999999999
4	721	8	38.333333333333336
4	89	9	38.0
4	927	10	37.666666666666664
4	140	11	36.33333333333333
4	131	12	36.0
4	272	13	35.666666666666664
4	94	14	35.666666666666664
4	499	15	35.666666666666664
4	1147	16	35.66666666666666
4	244	17	35.333333333333336
4	1244	18	34.333333333333336
4	1047	19	34.0
4	73	20	34.0
5	1201	1	14.666666666666666
5	1313	2	13.333333333333332
5	1147	3	10.333333333333334
5	329	4	10.333333333333332
5	798	5	9.666666666666666
5	77	6	9.333333333333336
5	1248	7	9.0
5	193	8	9.0
5	151	9	8.666666666666666
5	94	10	8.666666666666666
5	1380	11	8.333333333333332
5	49	12	8.0
5	1392	13	8.0
5	499	14	8.0
5	1239	15	8.0
