Query_ID	Doc_ID	Rank	Score
1	51	1	9.358324089016884
1	486	2	8.00314761490612
1	184	3	7.482852328132759
1	12	4	6.829849887525519
1	573	5	6.336850793223452
1	878	6	5.832673876029214
1	14	7	5.386317317571034
1	1268	8	5.293221706191631
1	1361	9	5.100506318851723
1	665	10	5.091844409163544
1	329	11	5.006022898134064
1	13	12	4.822769019358647
1	576	13	4.777164866642901
1	141	14	4.7169138506737704
1	944	15	4.625018256109669
1	1003	16	4.623080920572016
1	792	17	4.607509929461279
1	876	18	4.5689389603209944
1	172	19	4.491083317336843
1	1263	20	4.462187694242392
2	12	1	10.789085890635189
2	746	2	6.31044217620593
2	51	3	6.248143799456567
2	792	4	5.720163555384908
2	14	5	5.499345712320935
2	1089	6	5.439181484185942
2	1169	7	5.3519195412737695
2	100	8	5.308227252940238
2	172	9	5.242432344885014
2	141	10	5.208653405293249
2	810	11	5.0008444271212245
2	1263	12	4.912218845513436
2	724	13	4.760021247420823
2	184	14	4.748579951383627
2	92	15	4.74554529899383
2	1380	16	4.717098052045593
2	78	17	4.6193177161415635
2	1170	18	4.539558008003098
2	486	19	4.4736431388015685
2	700	20	4.4242597785040045
3	485	1	7.416260836948225
3	5	2	7.250033799899889
3	144	3	7.196413173600906
3	91	4	6.235092400220286
3	399	5	6.1357419625253335
3	1072	6	6.080576189761627
3	90	7	5.924674954456957
3	828	8	5.515439041289111
3	181	9	5.4977974410240975
3	344	10	4.827977580170879
3	623	11	4.803472396629012
3	980	12	4.787212947695427
3	579	13	4.721970190714113
3	542	14	4.703624792107047
3	251	15	4.489139350913759
3	826	16	4.4459016679998555
3	6	17	4.237914829592853
3	582	18	4.07302589584357
3	329	19	3.813730819725121
3	270	20	3.811793760265224
4	166	1	9.9343736945861
4	488	2	9.430865187338123
4	167	3	8.263472519466404
4	1275	4	8.093432751263732
4	1061	5	7.96231726117658
4	185	6	7.789856183772714
4	1255	7	7.729645429238109
4	1315	8	7.7099367216080745
4	1189	9	7.578239868193843
4	575	10	7.124474958806806
4	1374	11	6.864906096960072
4	24	12	6.829035969948134
4	1085	13	6.785235784961305
4	435	14	6.681216777607798
4	332	15	6.3830673731626
4	1242	16	6.139788054680341
4	236	17	6.013036095645841
4	1252	18	5.986940717476927
4	541	19	5.912292994960035
4	401	20	5.791581466605253
5	103	1	5.543637786977088
5	1032	2	5.1017456620352295
5	401	3	5.031601028738425
5	552	4	4.530490686038933
5	1296	5	4.412929107387172
5	968	6	4.362868591293404
5	943	7	4.361777030684687
5	1072	8	4.1877014579911656
5	625	9	4.163435320186338
