Query_ID	Doc_ID	Rank	Score
1	798	1	16.0
1	1147	2	15.999999999999998
1	1313	3	15.666666666666666
1	792	4	15.333333333333334
1	874	5	15.333333333333332
1	131	6	15.333333333333332
1	51	7	14.666666666666668
1	717	8	14.33333333333333
1	640	9	13.333333333333334
1	262	10	13.333333333333332
1	1201	11	12.999999999999998
1	244	12	12.999999999999998
1	1144	13	12.666666666666668
1	329	14	12.666666666666666
1	576	15	12.666666666666666
1	193	16	12.333333333333334
1	14	17	12.0
1	662	18	12.0
1	695	19	11.666666666666666
1	826	20	11.666666666666666
2	1201	1	56.99999999999999
2	798	2	52.0
2	1313	3	46.33333333333333
2	329	4	43.333333333333336
2	927	5	35.666666666666664
2	792	6	34.66666666666667
2	499	7	33.666666666666664
2	417	8	33.33333333333333
2	89	9	33.0
2	673	10	32.0
2	452	11	31.666666666666664
2	721	12	31.333333333333332
2	1040	13	31.33333333333333
2	94	14	30.33333333333333
2	1239	15	30.33333333333333
2	1147	16	30.0
2	73	17	29.999999999999996
2	131	18	29.666666666666664
2	433	19	28.666666666666664
2	1144	20	28.333333333333332
3	798	1	20.0
3	329	2	17.999999999999996
3	826	3	17.666666666666664
3	131	4	17.0
3	1313	5	17.0
3	1201	6	16.333333333333332
3	927	7	16.0
3	499	8	15.0
3	89	9	15.0
3	695	10	14.666666666666666
3	262	11	14.666666666666666
3	662	12	14.333333333333334
3	730	13	14.333333333333332
3	73	14	14.333333333333332
3	225	15	14.0
3	49	16	14.0
3	1147	17	14.0
3	344	18	14.0
3	1072	19	13.999999999999998
3	792	20	13.666666666666666
4	1313	1	60.0
4	798	2	54.333333333333336
4	1201	3	53.33333333333333
4	329	4	46.333333333333336
4	417	5	41.99999999999999
4	1239	6	40.333333333333336
4	1040	7	40.0
4	89	8	39.333333333333336
4	499	9	38.99999999999999
4	721	10	38.333333333333336
4	131	11	38.0
4	927	12	37.666666666666664
4	94	13	37.33333333333333
4	140	14	36.666666666666664
4	244	15	36.666666666666664
4	1147	16	35.99999999999999
4	272	17	35.666666666666664
4	1047	18	34.66666666666667
4	452	19	34.666666666666664
4	73	20	34.666666666666664
5	1201	1	15.666666666666666
5	1313	2	13.333333333333332
5	798	3	11.0
5	1147	4	10.666666666666668
5	329	5	10.666666666666664
5	1248	6	9.666666666666666
5	77	7	9.333333333333336
5	1380	8	9.333333333333332
5	499	9	9.333333333333332
5	640	10	9.0
5	193	11	9.0
5	151	12	8.666666666666666
5	94	13	8.666666666666666
5	1239	14	8.666666666666666
5	49	15	8.333333333333332
5	373	16	8.333333333333332
5	1392	17	8.333333333333332
5	417	18	8.0
5	928	19	8.0
5	160	20	8.0
6	798	1	21.0
6	315	2	16.333333333333332
6	1313	3	16.333333333333332
6	329	4	15.333333333333334
6	244	5	13.0
6	193	6	13.0
6	757	7	13.0
6	927	8	13.0
6	225	9	12.666666666666666
6	89	10	12.0
6	522	11	11.666666666666666
6	928	12	11.666666666666666
6	452	13	11.333333333333332
6	1201	14	11.333333333333332
6	160	15	11.333333333333332
6	576	16	11.0
6	1239	17	11.0
6	99	18	10.666666666666666
6	373	19	10.666666666666666
6	97	20	10.333333333333334
7	1201	1	66.33333333333334
7	1313	2	63.666666666666664
7	798	3	54.66666666666666
7	1147	4	43.66666666666667
7	329	5	43.0
7	94	6	42.666666666666664
7	1040	7	42.00000000000001
7	721	8	41.66666666666667
7	89	9	40.333333333333336
7	927	10	38.66666666666667
7	1382	11	38.666666666666664
7	417	12	38.666666666666664
7	1239	13	38.33333333333333
7	499	14	37.0
7	193	15	36.33333333333333
7	962	16	35.33333333333333
7	262	17	34.99999999999999
7	1244	18	34.99999999999999
7	433	19	34.66666666666666
7	49	20	34.33333333333333
8	234	1	25.33333333333333
8	1201	2	25.0
8	160	3	23.0
8	927	4	22.666666666666664
8	433	5	22.66666666666666
8	1313	6	22.0
8	1040	7	21.333333333333332
8	798	8	20.333333333333332
8	947	9	20.333333333333332
8	193	10	19.999999999999996
8	329	11	19.666666666666668
8	122	12	19.666666666666664
8	792	13	19.33333333333333
8	1147	14	19.0
8	721	15	18.666666666666668
8	89	16	18.666666666666668
8	189	17	18.666666666666664
8	1239	18	18.333333333333332
8	225	19	18.0
8	704	20	17.999999999999996
9	564	1	8.0
9	662	2	8.0
9	1040	3	7.999999999999999
9	798	4	6.333333333333333
9	1213	5	6.0
9	123	6	5.666666666666666
9	49	7	5.666666666666666
9	294	8	5.666666666666666
9	623	9	5.333333333333333
9	522	10	5.0
9	572	11	4.666666666666667
9	1307	12	4.666666666666666
9	283	13	4.666666666666666
9	962	14	4.666666666666666
9	435	15	4.666666666666666
9	1107	16	4.666666666666666
9	344	17	4.666666666666666
9	45	18	4.333333333333333
9	272	19	4.333333333333333
9	101	20	4.333333333333333
10	1313	1	31.666666666666668
10	329	2	28.999999999999996
10	798	3	28.999999999999996
10	1201	4	26.33333333333333
10	452	5	22.666666666666664
10	927	6	22.0
10	721	7	21.666666666666668
10	695	8	21.666666666666664
10	417	9	21.666666666666664
10	947	10	21.000000000000004
10	131	11	20.333333333333336
10	792	12	20.333333333333332
10	89	13	20.333333333333332
10	225	14	20.0
10	576	15	20.0
10	499	16	19.666666666666668
10	962	17	19.666666666666664
10	704	18	19.333333333333332
10	82	19	19.333333333333332
10	1047	20	19.0
11	1201	1	63.333333333333336
11	1313	2	60.0
11	798	3	55.0
11	329	4	46.66666666666667
11	499	5	42.33333333333333
11	89	6	41.0
11	1147	7	40.333333333333336
11	94	8	39.33333333333333
11	417	9	37.33333333333333
11	1239	10	37.33333333333333
11	262	11	36.99999999999999
11	927	12	36.666666666666664
11	1040	13	36.333333333333336
11	1244	14	36.33333333333333
11	73	15	35.99999999999999
11	1047	16	35.333333333333336
11	131	17	34.33333333333333
11	721	18	34.00000000000001
11	1248	19	34.0
11	160	20	33.666666666666664
12	1201	1	44.99999999999999
12	1313	2	43.666666666666664
12	798	3	42.666666666666664
12	329	4	33.666666666666664
12	927	5	31.333333333333332
12	131	6	30.666666666666664
12	89	7	29.999999999999996
12	417	8	29.66666666666666
12	94	9	28.999999999999996
12	1239	10	28.999999999999996
12	1147	11	27.666666666666668
12	499	12	27.666666666666668
12	73	13	27.333333333333332
12	1244	14	27.333333333333332
12	1040	15	26.999999999999996
12	1144	16	26.666666666666664
12	992	17	25.666666666666664
12	673	18	25.333333333333336
12	721	19	25.333333333333336
12	452	20	25.333333333333332
13	1201	1	54.66666666666666
13	1313	2	43.666666666666664
13	798	3	41.66666666666667
13	417	4	31.666666666666664
13	329	5	30.333333333333332
13	89	6	29.999999999999996
13	499	7	29.666666666666664
13	927	8	28.333333333333336
13	73	9	28.333333333333332
13	131	10	28.333333333333332
13	1239	11	28.333333333333332
13	94	12	28.0
13	1244	13	27.0
13	1147	14	26.666666666666664
13	1040	15	25.666666666666664
13	151	16	24.666666666666664
13	721	17	24.333333333333332
13	262	18	24.333333333333332
13	673	19	24.0
13	1047	20	23.666666666666668
14	798	1	14.0
14	1313	2	11.666666666666668
14	132	3	10.999999999999998
14	64	4	8.999999999999998
14	170	5	7.666666666666666
14	329	6	6.999999999999998
14	1364	7	6.333333333333333
14	1156	8	6.333333333333333
14	1248	9	6.0
14	903	10	5.999999999999999
14	334	11	5.333333333333333
14	757	12	5.333333333333333
14	190	13	5.333333333333332
14	272	14	5.0
