Query_ID	Doc_ID	Rank	Score
1	257	1	0.06349215317392504
1	268	2	0.05877674150326756
1	376	3	0.05679431559050684
1	308	4	0.056319416656581175
1	370	5	0.05614564105577923
1	323	6	0.053102881361361036
1	288	7	0.051984710267569165
1	304	8	0.0489056554785322
1	171	9	0.04873903388996651
1	326	10	0.0461672276226819
1	406	11	0.045000657622396
1	419	12	0.040925230983905866
1	334	13	0.040132215373732474
1	383	14	0.038589064892872414
1	350	15	0.03811041359329485
1	364	16	0.03697666939478095
1	349	17	0.03670399431749917
1	3	18	0.03586410965474003
1	359	19	0.03532054369774522
1	170	20	0.03527279080921401
2	419	1	0.05681926696481708
2	171	2	0.05305939508279993
2	383	3	0.04976206385934075
2	268	4	0.049039907898245055
2	304	5	0.04786439355965155
2	370	6	0.046616371938759546
2	323	7	0.0462948752339448
2	334	8	0.04369940583402764
2	30	9	0.041321307199871246
2	257	10	0.04081006669779537
2	326	11	0.040093616927555156
2	350	12	0.03886033239387027
2	211	13	0.03827002212342629
2	376	14	0.037118270435671466
2	349	15	0.03588526522245891
2	154	16	0.035441620181735835
2	395	17	0.03504683794653026
2	384	18	0.03378844440094963
2	29	19	0.03362563793014069
2	220	20	0.03277151205022723
3	423	1	0.09094299196370025
3	419	2	0.08026682735638421
3	29	3	0.07056752414734013
3	12	4	0.06896345947474321
3	211	5	0.06830993379487624
3	350	6	0.06755584774548032
3	106	7	0.06743799757579697
3	154	8	0.06667451996358498
3	383	9	0.06454185391637392
3	171	10	0.06411326238298307
3	316	11	0.06190139781386118
3	349	12	0.05935794482636179
3	36	13	0.059235612476339405
3	407	14	0.05698650146647135
3	308	15	0.05639894833238413
3	259	16	0.05613619800080506
3	374	17	0.05549547052835278
3	257	18	0.05545495260162581
3	395	19	0.0541447491412001
3	30	20	0.05407602708752107
4	419	1	0.09794522219933816
4	383	2	0.07824324885670315
4	350	3	0.077447657345982
4	171	4	0.07361068747042451
4	211	5	0.07305618440298736
4	268	6	0.06960247024144496
4	257	7	0.06349663681349858
4	308	8	0.06329959592958392
4	304	9	0.061646662545808716
4	29	10	0.06119559124164583
4	334	11	0.06088713458715283
4	395	12	0.05908076655050319
4	370	13	0.058023378535939356
4	349	14	0.05760674765003545
4	323	15	0.057132532507505926
4	376	16	0.05682660461474264
4	288	17	0.05669823456804158
4	12	18	0.0558289539460853
4	326	19	0.05425890794824064
4	30	20	0.05340147930289957
5	419	1	0.05715642519488168
5	383	2	0.05141868926526069
5	350	3	0.04995846361731149
5	211	4	0.04645932365705132
5	106	5	0.04475479514446446
5	12	6	0.04470130569680951
5	29	7	0.043742709972230114
5	171	8	0.04219646803214457
5	395	9	0.041633939434172415
5	349	10	0.04135434309777282
5	386	11	0.04063456587506468
5	154	12	0.039194379594979324
5	30	13	0.03898175965989388
5	268	14	0.03842519300127008
5	407	15	0.03831450526344323
5	257	16	0.03830998517853575
5	259	17	0.037584787882153074
5	304	18	0.03664065929029408
5	252	19	0.03645702653324313
5	288	20	0.036314737928363455
6	323	1	0.07687119783850058
6	154	2	0.06601530508340761
6	419	3	0.06523884015802274
6	308	4	0.06475720554671636
6	268	5	0.06424234306860949
6	257	6	0.06387410106912397
6	211	7	0.060402504727057375
6	288	8	0.05321914453804462
6	350	9	0.052913311757521994
6	29	10	0.05253501185354889
6	324	11	0.05203917429212031
6	383	12	0.05154678652601392
6	395	13	0.051503425666238625
6	171	14	0.05138415107120611
6	30	15	0.051088264575199355
6	326	16	0.04954273540589416
6	304	17	0.04947569381138137
6	106	18	0.04826094567143919
6	334	19	0.04732732988594973
6	259	20	0.047023723139373745
7	421	1	0.09233226224432772
7	406	2	0.08828519810018944
7	384	3	0.07075108919121008
7	49	4	0.06426378096771519
7	87	5	0.058720720058917326
7	239	6	0.05255820083977165
7	153	7	0.043989903628899964
7	169	8	0.04229388335696043
7	346	9	0.03557624083668957
7	226	10	0.03551102326559555
7	164	11	0.03425995568808629
7	341	12	0.033692983911959934
7	140	13	0.03319745767378241
7	315	14	0.033181547192880474
7	50	15	0.03273659392360544
7	43	16	0.0326990336988222
7	11	17	0.03264565470847534
7	63	18	0.0326075098795559
7	327	19	0.03256330062804928
7	192	20	0.032312329949073106
8	358	1	0.13499783934545226
8	339	2	0.13376026629975557
8	61	3	0.09774790190094051
8	423	4	0.07848700992601262
8	155	5	0.07840754374315874
8	303	6	0.07031249469092406
8	269	7	0.06969553818927512
8	242	8	0.067519156297455
