Query_ID	Doc_ID	Rank	Score
1	257	1	0.05516695291051209
1	308	2	0.054304933471073416
1	323	3	0.0527451930926793
1	268	4	0.04657681671355925
1	304	5	0.039922920015795976
1	376	6	0.037745754366357645
1	288	7	0.036781077763021204
1	370	8	0.035018690653177066
1	326	9	0.031466474144707
1	406	10	0.027321304383946775
1	334	11	0.024902366344969354
1	171	12	0.024635977186266422
1	419	13	0.023332737237235893
1	359	14	0.018924677602680563
1	395	15	0.016933166641783078
1	349	16	0.014903364186173527
1	382	17	0.013386820875287928
1	350	18	0.012351315521683998
1	383	19	0.011804273554934753
1	211	20	0.01146230917714158
2	419	1	0.0582373664749091
2	383	2	0.04459739012521069
2	171	3	0.04027296272688295
2	304	4	0.039659047921707095
2	370	5	0.038528406455860684
2	323	6	0.038290278001866414
2	334	7	0.038175884899803295
2	268	8	0.03778588166214625
2	350	9	0.03700012209161345
2	211	10	0.03417016849569249
2	30	11	0.03252088421835248
2	349	12	0.03150704377763505
2	376	13	0.03132892143357859
2	326	14	0.03099291187623715
2	395	15	0.03079552367502003
2	257	16	0.03057641952812031
2	308	17	0.030266360376096334
2	154	18	0.029675953851979558
2	29	19	0.027147509353380405
2	106	20	0.024609327584568415
3	419	1	0.049609188822248684
3	154	2	0.03887622916544538
3	350	3	0.03844757663556297
3	29	4	0.03770537470017677
3	211	5	0.03609233850867122
3	106	6	0.035537645960806
3	12	7	0.03253884608408589
3	383	8	0.03182615214053902
3	30	9	0.0301111247327042
3	316	10	0.029615615206297047
3	349	11	0.026730705550078476
3	171	12	0.026441445818965036
3	308	13	0.026323311381312577
3	376	14	0.025687965720910137
3	102	15	0.02534320113451277
3	395	16	0.02533232521299994
3	407	17	0.025136473484104156
3	334	18	0.02401874012218978
3	259	19	0.023463588800943055
3	323	20	0.02288121861182137
4	419	1	0.06663121384312157
4	171	2	0.046227455632806266
4	383	3	0.045736437878136124
4	211	4	0.043552118695295086
4	350	5	0.04295050877282249
4	154	6	0.03887622916544538
4	376	7	0.038503448054171205
4	268	8	0.03785743634573919
4	304	9	0.037427489674285976
4	308	10	0.03688225798988628
4	334	11	0.03635467708182773
4	257	12	0.03604647218755027
4	30	13	0.03443875821258714
4	29	14	0.03416117214839919
4	395	15	0.0337759174629846
4	323	16	0.033219157685051244
4	106	17	0.032783788228937
4	370	18	0.032577446020965094
4	349	19	0.030427747375252067
4	288	20	0.028780926882497938
5	419	1	0.03843742594161162
5	154	2	0.029675953851979558
5	29	3	0.027147509353380405
5	350	4	0.026552169235981714
5	211	5	0.02511735256202763
5	106	6	0.024609327584568415
5	395	7	0.024591060485240273
5	30	8	0.024430567335770096
5	383	9	0.024071706958283322
5	376	10	0.021820280892508905
5	171	11	0.020486952913041725
5	12	12	0.020323105837019177
5	349	13	0.02011942128645609
5	304	14	0.01936017507927501
5	259	15	0.019204410612664483
5	407	16	0.01820969112492265
5	308	17	0.01747570665937103
5	374	18	0.017172036878912084
5	268	19	0.01681123603264366
5	334	20	0.01666340022797607
6	323	1	0.0703107423171589
6	308	2	0.06500934100734436
6	419	3	0.054534479615708745
6	268	4	0.05447599047573265
6	257	5	0.05112567804361859
6	288	6	0.045223983818053454
6	304	7	0.04243500059094957
6	154	8	0.03887622916544538
6	29	9	0.03883920121710173
6	326	10	0.03747102460866338
6	324	11	0.03596579096782106
6	350	12	0.034467385851817696
6	259	13	0.034459608729304564
6	211	14	0.033347816987427864
6	30	15	0.03298639957472056
6	106	16	0.032783788228937
6	395	17	0.031134678590863586
6	383	18	0.0295368416198873
6	171	19	0.02906660081040314
6	334	20	0.02836461968551305
7	421	1	0.0614829738770722
7	406	2	0.05427539826573084
7	384	3	0.04420841822250888
7	49	4	0.042396053148467776
7	87	5	0.03896925293953342
7	107	6	0.03167680028419355
7	239	7	0.031006111832964124
7	153	8	0.02652641350308213
7	169	9	0.018785157252243823
7	414	10	0.01858629499357274
7	232	11	0.01722485978022541
7	287	12	0.015906090039401723
7	226	13	0.014218815973966622
7	170	14	0.011585519963678226
7	31	15	0.011343050244676692
7	373	16	0.011137266703290044
7	68	17	0.010674008867777592
7	413	18	0.010566304251402231
7	341	19	0.010362743586560884
7	242	20	0.010342101714258487
8	358	1	0.10387175632845444
8	339	2	0.09395658663472245
8	61	3	0.06612998521825107
8	269	4	0.045192120689981345
8	155	5	0.040475132415905
8	242	6	0.040176699271761915
8	303	7	0.039427072052421276
8	212	8	0.026041360497171904
8	36	9	0.0259235057195532
8	156	10	0.02343659019995019
8	258	11	0.0205471341049593
8	144	12	0.015624383225646132
8	80	13	0.014637574965749248
8	167	14	0.012908268413614706
8	75	15	0.012710018975339918
8	207	16	0.012438670445502568
8	149	17	0.010681081341990884
8	150	18	0.009176925942754417
8	249	19	0.009068103271108494
8	88	20	0.008289308400056459
9	358	1	0.035287870102629994
9	269	2	0.03314864649057582
9	339	3	0.03258559692042757
9	61	4	0.028024494375901376
9	242	5	0.02730362850171719
9	198	6	0.026227441681326916
9	238	7	0.016056475602689472
9	423	8	0.015651006511016495
9	156	9	0.01278120522690486
9	155	10	0.012730507444609815
9	303	11	0.012100706930094556
9	422	12	0.010970869627216773
9	258	13	0.008553096573326497
9	245	14	0.008254632378086496
9	68	15	0.006488207992123067
9	127	16	0.006275969394900827
9	31	17	0.005441928688939289
9	46	18	0.0052099084735193965
9	179	19	0.005036980042084435
9	225	20	0.0049033927374103545
10	358	1	0.04661642901987335
10	269	2	0.041135449171030895
10	61	3	0.039693755061256025
10	155	4	0.03003829455111268
10	339	5	0.027935472878026377
10	303	6	0.02524655083598438
10	242	7	0.02521343610449126
10	258	8	0.023094417795392903
10	36	9	0.02142772556660041
10	156	10	0.016698512418428128
10	68	11	0.015886333240632017
10	144	12	0.015624383225646132
10	75	13	0.012990336620684412
10	167	14	0.012908268413614706
10	49	15	0.008426984857823703
10	309	16	0.008085608167548174
10	420	17	0.007879309720409027
10	109	18	0.0077636686835508735
10	158	19	0.0077356409987727115
10	317	20	0.0076766022481472825
11	198	1	0.058047857612574846
11	269	2	0.026658408170977994
11	238	3	0.01683570275370117
11	423	4	0.015584286878328165
11	61	5	0.01447457234532226
11	46	6	0.013881824881781258
11	316	7	0.013337271129186912
11	200	8	0.012797652078918895
11	102	9	0.01257712216772434
11	195	10	0.012522073673680944
