Query_ID	Doc_ID	Rank	Score
1	257	1	8.948813644440644
1	304	2	8.047864981225679
1	349	3	7.448077758957147
1	308	4	7.405501225681712
1	268	5	7.337937531203723
1	323	6	7.178014647562637
1	288	7	7.119379297315618
1	326	8	7.0973919357934285
1	370	9	6.853201127919693
1	359	10	6.814240940743582
1	334	11	6.712578175456638
1	406	12	6.688748201865742
1	395	13	5.889271831125784
1	376	14	5.853288825615161
1	211	15	4.966331603942519
1	419	16	4.448051972191019
1	171	17	4.433630378470012
1	350	18	3.854413735148717
1	382	19	3.6268167361112638
1	384	20	3.516390358166052
2	326	1	12.276768212473277
2	323	2	11.999522842138845
2	334	3	11.762049718097815
2	370	4	10.89600520746595
2	304	5	10.830554620883962
2	383	6	10.765905429932383
2	349	7	10.655267983859595
2	268	8	7.867435802696434
2	395	9	7.3842443025971125
2	350	10	7.165956952789033
2	419	11	6.679557024909612
2	211	12	6.672227143337598
2	384	13	6.6582222952263095
2	30	14	6.4300807182737385
2	308	15	6.32577460300571
2	376	16	6.114173013683304
2	359	17	5.887659425246258
2	257	18	5.88510201548485
2	171	19	5.834876378610543
2	288	20	5.273846084097709
3	334	1	7.274730968097934
3	308	2	7.161789034923339
3	349	3	7.088213516074328
3	211	4	6.984623739037281
3	12	5	6.9163352150178135
3	383	6	6.697519903289853
3	323	7	6.618619006459252
3	252	8	6.41513276002177
3	326	9	6.398143485332216
3	350	10	6.305545786541389
3	185	11	6.26946105143151
3	407	12	6.049010460767159
3	257	13	5.911263628774455
3	316	14	5.791560492915663
3	170	15	5.754689792555136
3	395	16	5.4558990140342125
3	106	17	5.359410615213913
3	29	18	5.261863057245559
3	374	19	5.123673561625266
3	335	20	5.0813727552401975
4	211	1	10.192597374580624
4	308	2	9.712533294811198
4	334	3	9.601073583267265
4	326	4	9.529819262647784
4	383	5	9.230851514919115
4	268	6	9.093261390693666
4	323	7	8.79603384699018
4	257	8	8.628629753459233
4	304	9	8.545042809956623
4	419	10	8.521251812298786
4	349	11	8.486856106824058
4	395	12	8.308872237888494
4	370	13	8.253204024856736
4	350	14	8.110854990463373
4	171	15	7.916220826359155
4	288	16	7.908950655894722
4	359	17	7.549827042311637
4	376	18	7.482183490738402
4	384	19	7.4191795047564275
4	407	20	7.146739932289103
5	395	1	5.878857046609017
5	304	2	5.047627970830107
5	383	3	4.597935883054974
5	326	4	4.595603497656368
5	349	5	4.490750973652723
5	334	6	4.336302689401153
5	376	7	4.14334235177342
5	370	8	4.127637417287431
5	308	9	4.001016788707464
5	170	10	3.834727313880088
5	374	11	3.826688285280764
5	259	12	3.8102916913165714
5	268	13	3.7292167445178306
5	211	14	3.62919813878917
5	252	15	3.5529167496013634
5	350	16	3.4883413962425776
5	419	17	3.4457419239851568
5	359	18	3.382217875189209
5	407	19	3.356471697613581
5	30	20	3.3041070408648427
6	323	1	12.119656708775503
6	324	2	12.078953023923964
6	308	3	11.421592192451158
6	304	4	11.03105256486869
6	326	5	10.382592928672393
6	268	6	10.311861057299474
6	334	7	10.234860596111524
6	257	8	10.127928490740167
6	395	9	9.536184209326407
6	288	10	9.357652416465914
6	349	11	7.997011017538399
6	370	12	7.927502666911019
6	211	13	7.84124776164533
6	259	14	7.7639360255475065
6	359	15	7.753775372087458
6	407	16	7.333410301953097
6	30	17	7.153075313710383
6	171	18	6.763568236219554
6	419	19	6.653636432940718
6	252	20	6.2969643638943555
7	406	1	11.166112043898972
7	384	2	10.649523655764554
7	49	3	8.793404447280524
7	421	4	8.338364906981742
7	87	5	4.928108435365022
7	408	6	4.914768590502021
7	239	7	4.90094489115541
7	169	8	4.719747940838718
7	156	9	4.713424132981322
7	170	10	4.49518156025397
7	334	11	4.442548777167259
7	185	12	4.28715284776682
7	251	13	4.265498504111354
7	315	14	4.167174712444599
7	397	15	4.072269767602576
7	327	16	4.072258213311008
7	413	17	4.066572558755562
7	360	18	3.993131806300259
7	153	19	3.896874470682987
7	341	20	3.8528240612044224
8	339	1	17.83751976444066
8	358	2	15.864129882891895
8	61	3	10.392318907158339
8	155	4	10.10066480659092
8	156	5	9.86206174039137
8	269	6	9.515945433610378
8	303	7	8.385344537986935
8	242	8	7.878530943126511
8	212	9	4.6502720585915265
8	344	10	4.6267038425330895
8	7	11	4.214245273436787
8	292	12	4.110004476782151
8	150	13	3.6657165210658365
8	272	14	3.5639652931033203
8	352	15	3.5579204488280434
8	221	16	3.5549974255413663
8	195	17	3.5380174912857685
8	88	18	3.2605439735775343
8	50	19	3.2371958042325257
8	54	20	3.1979703163749544
9	339	1	6.091594153655603
9	358	2	5.587845505747939
9	61	3	4.567345003056538
9	156	4	4.453085425543787
9	269	5	4.405061814219895
9	242	6	4.235333617981081
9	155	7	3.273082791860377
9	422	8	3.2450608001959784
9	258	9	2.92677384274314
9	238	10	2.344748007217539
9	198	11	2.3403988175077526
9	303	12	2.3207404025668836
9	127	13	2.1784698473763826
9	179	14	1.7128754386719371
9	54	15	1.6393660886051695
9	423	16	1.5872336644087512
9	68	17	1.577427917051341
9	31	18	1.4098121329772464
9	46	19	1.395664957865522
9	245	20	1.356762743534398
10	61	1	9.733864663052161
10	155	2	8.421830022211664
10	269	3	7.105915254076274
10	156	4	6.786291941201152
10	358	5	4.983384288425287
10	339	6	4.675173588060664
10	303	7	4.672507432061846
10	242	8	4.21116816595556
10	49	9	3.2915162119181636
10	313	10	3.178257852348911
10	258	11	3.1565535595250958
10	68	12	3.1065526138137165
10	405	13	3.1025469884553765
10	75	14	2.900776469902863
10	349	15	2.763484462583781
10	340	16	2.642968199164123
10	309	17	2.58055967043384
10	169	18	2.5505603519125617
10	384	19	2.47814849619804
10	305	20	2.463872852532586
11	198	1	9.573536420775733
11	195	2	6.108576016307987
11	156	3	5.255350565365607
11	272	4	5.073740990852057
11	200	5	4.976949603171833
11	148	6	4.632423179738039
11	238	7	4.604959518435502
11	46	8	4.497515180606363
11	142	9	4.441183704971804
11	185	10	4.247969299615411
11	339	11	4.213032939670645
11	25	12	4.172567040073183
11	79	13	4.1313981253094765
11	121	14	4.0190021961717
11	269	15	3.846963382325924
11	47	16	3.8003770935950776
11	343	17	3.753694645000972
11	135	18	3.6926558151269226
11	242	19	3.682195344408642
11	402	20	3.6407715647822916
12	61	1	11.276758752864605
12	156	2	11.204961694225684
12	358	3	10.424470903071043
12	242	4	9.768404139413203
12	155	5	9.038632032621969
12	269	6	8.96339023117522
12	303	7	8.460953885221842
12	339	8	8.351304388229165
12	198	9	5.546779609774921
12	31	10	4.503832897126786
12	185	11	4.377257075309847
12	159	12	4.376232826810784
12	46	13	3.914782252868042
12	144	14	3.668432868976408
12	75	15	3.6643748600112276
12	295	16	3.6193138200269592
12	47	17	3.3164483091146257
12	238	18	3.281940836770192
12	266	19	3.249322784980013
12	139	20	3.244907285228873
13	170	1	7.941856321076748
13	287	2	6.365966721041611
13	185	3	6.217678925539888
13	239	4	6.127645217529977
13	169	5	6.075972737940077
13	350	6	5.95617144735557
13	87	7	5.878852200120242
13	151	8	5.73839439955456
13	79	9	5.297623795412711
13	342	10	5.2636483203360385
13	32	11	4.650432638434399
13	20	12	4.525485870835898
13	228	13	4.323629900967221
13	38	14	4.097177748206131
13	1	15	4.0950302931639495
13	80	16	4.070514043487844
13	306	17	3.970087119181514
13	188	18	3.9643504494236588
13	153	19	3.920526489279091
13	421	20	3.8922409348249487
14	316	1	5.63461095588675
14	279	2	5.522762032652585
14	107	3	5.368908390651237
14	121	4	5.2788057999936715
14	275	5	5.27045640917714
14	48	6	4.952709221440281
