Query_ID	Doc_ID	Rank	Score
1	121	1	168.99999999999997
1	343	2	146.33333333333334
1	47	3	145.33333333333334
1	294	4	129.66666666666666
1	326	5	117.33333333333336
1	156	6	115.99999999999997
1	349	7	81.33333333333331
1	271	8	79.0
1	370	9	78.66666666666667
1	359	10	70.33333333333334
1	334	11	65.33333333333333
1	211	12	58.66666666666666
1	290	13	53.0
1	308	14	51.0
1	377	15	50.333333333333336
1	48	16	47.0
1	32	17	45.99999999999999
1	69	18	45.666666666666664
1	382	19	44.00000000000001
1	99	20	43.666666666666664
2	121	1	113.66666666666666
2	294	2	100.00000000000001
2	47	3	100.0
2	343	4	96.66666666666667
2	156	5	84.99999999999999
2	326	6	74.66666666666667
2	349	7	55.333333333333336
2	271	8	54.666666666666664
2	334	9	52.666666666666664
2	359	10	52.666666666666664
2	370	11	50.0
2	211	12	49.33333333333333
2	377	13	35.0
2	290	14	34.99999999999999
2	324	15	34.666666666666664
2	382	16	32.666666666666664
2	407	17	32.0
2	367	18	31.33333333333333
2	48	19	30.333333333333332
2	99	20	29.0
3	121	1	270.6666666666667
3	343	2	250.66666666666669
3	47	3	227.00000000000003
3	294	4	219.33333333333331
3	156	5	169.3333333333333
3	326	6	143.0
3	349	7	113.0
3	271	8	111.66666666666666
3	211	9	100.0
3	334	10	95.0
3	377	11	89.66666666666667
3	359	12	88.66666666666666
3	370	13	82.33333333333333
3	290	14	80.33333333333333
3	32	15	72.66666666666666
3	252	16	70.66666666666666
3	48	17	70.0
3	407	18	66.66666666666666
3	324	19	65.66666666666666
3	175	20	65.0
4	121	1	208.66666666666663
4	47	2	181.33333333333331
4	343	3	173.66666666666666
4	294	4	161.66666666666666
4	326	5	135.66666666666666
4	156	6	131.66666666666666
4	349	7	105.0
4	211	8	96.33333333333333
4	334	9	93.33333333333333
4	370	10	90.0
4	359	11	80.66666666666666
4	271	12	75.99999999999999
4	377	13	61.333333333333336
4	308	14	60.0
4	290	15	58.66666666666666
4	252	16	56.666666666666664
4	407	17	56.33333333333333
4	32	18	55.33333333333333
4	185	19	54.0
4	382	20	53.66666666666666
5	121	1	159.66666666666666
5	343	2	142.66666666666669
5	47	3	127.66666666666666
5	294	4	124.33333333333333
5	156	5	102.33333333333331
5	326	6	96.66666666666666
5	349	7	77.66666666666666
5	271	8	64.66666666666667
5	211	9	64.33333333333333
5	370	10	59.99999999999999
5	359	11	58.99999999999999
5	334	12	58.33333333333333
5	377	13	54.666666666666664
5	252	14	47.0
5	290	15	46.0
5	407	16	42.666666666666664
5	32	17	42.33333333333333
5	382	18	41.33333333333333
5	185	19	40.33333333333333
5	308	20	39.333333333333336
6	121	1	169.0
6	343	2	149.33333333333334
6	294	3	145.33333333333334
6	47	4	134.66666666666669
6	326	5	99.99999999999999
6	156	6	81.33333333333334
6	349	7	74.0
6	211	8	72.99999999999999
6	271	9	71.66666666666666
6	334	10	66.99999999999999
6	377	11	61.00000000000001
6	359	12	57.33333333333334
6	370	13	56.33333333333332
6	290	14	54.666666666666664
6	308	15	53.666666666666664
6	324	16	48.33333333333333
6	32	17	46.99999999999999
6	337	18	45.66666666666666
6	407	19	42.666666666666664
6	99	20	41.99999999999999
7	121	1	171.33333333333331
7	47	2	163.33333333333334
7	294	3	147.0
7	343	4	137.33333333333334
7	156	5	120.66666666666666
7	326	6	87.0
7	271	7	73.33333333333331
7	334	8	65.66666666666666
7	359	9	61.33333333333333
7	349	10	58.66666666666666
7	211	11	53.333333333333336
7	370	12	52.99999999999999
7	377	13	52.0
7	290	14	51.333333333333336
7	367	15	45.666666666666664
7	32	16	45.33333333333333
7	382	17	41.666666666666664
7	324	18	41.0
7	99	19	40.33333333333333
7	384	20	40.33333333333333
8	121	1	286.3333333333334
8	343	2	256.3333333333333
8	47	3	233.33333333333331
8	294	4	222.66666666666663
8	156	5	189.33333333333331
8	326	6	145.33333333333334
8	271	7	110.99999999999999
8	349	8	104.00000000000001
8	377	9	98.66666666666667
8	211	10	90.33333333333334
8	359	11	90.33333333333331
8	334	12	89.66666666666666
8	370	13	88.33333333333334
8	32	14	77.33333333333334
8	290	15	75.66666666666667
8	48	16	70.0
8	382	17	68.66666666666666
8	99	18	66.99999999999999
8	159	19	66.33333333333333
8	100	20	66.0
9	121	1	210.33333333333331
9	343	2	190.0
9	47	3	179.33333333333334
9	294	4	172.33333333333334
9	156	5	152.66666666666666
9	326	6	114.99999999999999
9	271	7	97.33333333333333
9	349	8	81.33333333333333
9	359	9	72.33333333333333
9	370	10	71.33333333333333
9	211	11	66.0
9	334	12	65.0
9	290	13	63.33333333333333
9	377	14	61.0
9	48	15	60.0
9	32	16	57.33333333333333
9	69	17	55.0
9	324	18	53.666666666666664
9	99	19	52.99999999999999
9	252	20	51.333333333333336
10	121	1	244.66666666666663
10	343	2	225.66666666666663
10	294	3	210.99999999999997
10	47	4	205.0
10	156	5	177.99999999999994
10	326	6	132.66666666666666
10	271	7	106.0
10	349	8	96.33333333333333
10	359	9	93.99999999999999
10	377	10	87.0
10	211	11	78.66666666666666
10	290	12	78.0
10	370	13	77.0
10	334	14	75.33333333333333
10	32	15	68.66666666666667
10	382	16	66.33333333333333
10	252	17	65.33333333333334
10	99	18	63.0
10	407	19	62.0
10	159	20	60.666666666666664
11	121	1	258.66666666666663
11	343	2	233.33333333333331
11	294	3	223.66666666666663
11	47	4	216.33333333333331
11	156	5	176.33333333333331
11	326	6	130.0
11	271	7	112.0
11	349	8	93.33333333333333
11	359	9	88.66666666666664
11	211	10	82.33333333333334
11	370	11	81.33333333333333
11	290	12	79.33333333333333
11	334	13	76.66666666666666
11	377	14	76.66666666666666
11	48	15	71.0
11	32	16	69.66666666666666
11	99	17	62.0
11	69	18	61.66666666666666
11	324	19	60.333333333333336
11	382	20	59.33333333333333
12	121	1	249.99999999999997
12	343	2	222.33333333333334
12	47	3	197.0
12	294	4	190.0
12	156	5	173.66666666666666
12	326	6	123.66666666666666
12	271	7	102.66666666666664
12	349	8	89.0
12	377	9	83.0
12	359	10	78.66666666666666
12	370	11	78.0
12	211	12	71.66666666666666
12	334	13	69.66666666666666
12	48	14	67.33333333333333
12	290	15	66.66666666666666
12	32	16	66.33333333333333
12	159	17	62.66666666666667
12	99	18	59.333333333333336
12	324	19	59.33333333333333
12	337	20	58.33333333333333
13	121	1	234.0
13	343	2	207.66666666666669
13	47	3	206.66666666666669
13	294	4	192.33333333333331
13	156	5	151.99999999999997
13	326	6	115.33333333333331
13	271	7	100.33333333333331
13	359	8	88.66666666666666
13	349	9	88.33333333333334
13	377	10	81.0
13	370	11	78.33333333333333
13	334	12	75.66666666666667
13	211	13	73.33333333333334
13	290	14	72.66666666666667
13	32	15	69.99999999999999
13	99	16	59.33333333333332
13	185	17	58.66666666666666
13	48	18	57.33333333333334
13	69	19	57.33333333333333
13	382	20	56.66666666666667
14	121	1	296.99999999999994
14	343	2	273.0
14	294	3	251.66666666666663
14	47	4	246.0
14	156	5	182.66666666666666
14	326	6	144.66666666666666
14	271	7	126.66666666666666
14	359	8	109.99999999999999
14	349	9	109.33333333333331
14	377	10	103.33333333333334
14	211	11	93.33333333333333
14	290	12	92.99999999999999
14	334	13	91.66666666666667
14	370	14	85.33333333333334
14	32	15	78.99999999999999
14	99	16	78.33333333333333
14	48	17	74.99999999999999
14	407	18	74.0
14	252	19	73.66666666666667
14	324	20	72.66666666666667
15	121	1	67.0
15	343	2	65.33333333333333
15	294	3	61.333333333333336
15	47	4	54.99999999999999
15	156	5	43.666666666666664
15	326	6	32.0
15	271	7	30.666666666666668
15	211	8	25.0
15	377	9	24.0
15	334	10	23.999999999999996
15	324	11	21.999999999999996
15	359	12	21.666666666666664
15	349	13	21.666666666666664
15	32	14	20.333333333333332
15	290	15	19.666666666666664
15	382	16	19.333333333333332
15	367	17	18.333333333333332
15	370	18	17.666666666666664
15	262	19	17.666666666666664
15	48	20	17.333333333333332
16	121	1	300.3333333333333
16	343	2	294.0
16	47	3	259.66666666666663
16	294	4	258.3333333333333
16	156	5	202.99999999999997
16	326	6	151.33333333333334
16	271	7	130.0
16	349	8	111.66666666666666
16	359	9	102.33333333333333
16	211	10	96.66666666666667
16	334	11	96.0
16	290	12	95.99999999999999
16	377	13	94.66666666666667
16	370	14	92.33333333333333
16	32	15	81.33333333333334
16	48	16	80.33333333333331
16	99	17	76.0
16	185	18	74.99999999999999
16	382	19	74.0
16	324	20	71.33333333333333
17	121	1	195.0
17	343	2	174.0
17	294	3	153.33333333333331
17	47	4	151.66666666666666
17	156	5	139.99999999999997
17	326	6	102.99999999999999
17	271	7	83.66666666666666
17	349	8	69.66666666666667
17	359	9	68.99999999999999
17	370	10	62.666666666666664
17	377	11	59.666666666666664
17	211	12	59.0
17	334	13	56.33333333333333
17	290	14	54.666666666666664
17	32	15	50.33333333333333
17	48	16	50.0
17	324	17	48.99999999999999
17	99	18	48.0
17	100	19	46.666666666666664
17	159	20	46.33333333333333
18	121	1	229.66666666666663
18	343	2	210.66666666666666
18	47	3	200.3333333333333
18	294	4	196.33333333333331
18	156	5	162.0
18	326	6	123.66666666666666
18	271	7	102.33333333333333
18	349	8	88.0
18	359	9	80.66666666666666
18	370	10	76.99999999999999
18	211	11	75.0
18	334	12	72.0
18	377	13	71.66666666666666
18	290	14	71.33333333333333
18	48	15	64.33333333333333
18	32	16	63.66666666666667
18	69	17	60.0
18	324	18	58.0
18	99	19	57.666666666666664
18	382	20	56.333333333333336
19	121	1	291.0
19	343	2	223.0
19	47	3	204.66666666666666
19	294	4	201.33333333333331
19	156	5	153.33333333333331
19	326	6	135.33333333333334
19	271	7	116.66666666666666
19	349	8	98.33333333333333
19	377	9	94.66666666666666
19	359	10	88.99999999999999
19	370	11	85.66666666666667
19	290	12	79.66666666666666
19	334	13	78.33333333333333
19	211	14	76.66666666666666
19	99	15	75.66666666666666
19	100	16	74.33333333333333
19	48	17	72.33333333333333
19	32	18	69.00000000000001
19	159	19	67.66666666666667
19	337	20	63.33333333333332
20	121	1	321.3333333333333
20	343	2	285.6666666666667
20	47	3	275.33333333333337
20	294	4	267.0
20	156	5	199.0
20	326	6	151.99999999999997
20	271	7	139.0
20	349	8	117.66666666666666
20	334	9	101.66666666666669
20	290	10	100.33333333333333
20	377	11	99.66666666666667
20	211	12	99.0
20	359	13	98.66666666666666
20	48	14	92.33333333333334
20	370	15	91.0
20	32	16	89.0
20	159	17	72.0
20	382	18	71.99999999999999
20	99	19	71.0
20	100	20	70.66666666666666
21	121	1	250.0
21	343	2	221.33333333333331
21	294	3	193.0
21	47	4	182.00000000000003
21	156	5	150.3333333333333
21	326	6	129.0
21	271	7	98.66666666666666
21	349	8	86.0
21	377	9	83.0
21	359	10	81.99999999999999
21	370	11	78.66666666666666
21	211	12	76.66666666666666
21	334	13	70.66666666666666
21	32	14	65.66666666666667
21	290	15	65.33333333333333
21	337	16	65.0
21	48	17	62.00000000000001
21	324	18	61.33333333333333
21	88	19	59.33333333333333
21	99	20	58.99999999999999
22	121	1	166.0
22	343	2	149.00000000000003
22	47	3	140.33333333333334
22	294	4	127.99999999999999
22	156	5	97.99999999999997
22	326	6	92.99999999999999
22	349	7	71.99999999999999
22	271	8	68.33333333333334
22	211	9	64.0
22	370	10	57.33333333333333
22	334	11	56.66666666666667
22	359	12	56.33333333333333
22	377	13	47.333333333333336
22	48	14	47.0
22	252	15	44.333333333333336
22	290	16	44.0
22	99	17	43.66666666666667
22	32	18	43.666666666666664
22	100	19	41.00000000000001
22	185	20	40.99999999999999
23	121	1	135.33333333333331
23	343	2	122.33333333333331
23	294	3	112.33333333333334
23	47	4	110.33333333333334
23	156	5	94.99999999999999
23	326	6	73.66666666666667
23	271	7	58.0
23	349	8	55.99999999999999
23	359	9	46.33333333333333
23	370	10	46.33333333333333
23	211	11	44.0
23	377	12	41.66666666666667
23	334	13	41.333333333333336
23	290	14	38.333333333333336
23	48	15	37.666666666666664
23	32	16	36.66666666666667
23	100	17	35.00000000000001
23	252	18	35.0
23	99	19	34.0
23	69	20	33.0
24	121	1	65.66666666666667
24	47	2	62.33333333333332
24	294	3	58.0
24	343	4	54.0
24	156	5	42.666666666666664
24	271	6	34.33333333333333
24	326	7	29.999999999999993
24	349	8	26.666666666666664
24	290	9	24.666666666666664
24	334	10	20.333333333333332
24	359	11	19.999999999999996
24	48	12	19.999999999999996
24	272	13	19.333333333333332
24	32	14	18.999999999999996
24	211	15	18.666666666666664
24	377	16	18.0
24	337	17	17.666666666666664
24	253	18	16.333333333333332
24	316	19	16.333333333333332
24	1	20	16.333333333333332
25	121	1	274.3333333333333
25	343	2	224.66666666666666
25	47	3	204.66666666666663
25	294	4	188.66666666666666
25	156	5	148.99999999999997
25	326	6	129.66666666666663
25	271	7	100.99999999999999
25	349	8	91.33333333333334
25	377	9	86.0
25	211	10	77.66666666666666
25	370	11	77.33333333333333
25	359	12	76.33333333333331
25	334	13	72.66666666666666
25	32	14	67.66666666666667
25	48	15	66.99999999999999
25	290	16	63.99999999999999
25	159	17	63.0
25	337	18	62.66666666666666
25	100	19	61.33333333333332
25	324	20	60.99999999999999
26	121	1	251.99999999999997
26	343	2	228.66666666666666
26	47	3	217.66666666666663
26	294	4	215.99999999999997
26	156	5	170.3333333333333
26	326	6	138.33333333333334
26	271	7	105.0
26	349	8	100.33333333333334
26	359	9	95.33333333333333
26	377	10	89.0
26	211	11	84.33333333333333
26	334	12	83.33333333333333
26	370	13	80.33333333333333
26	290	14	77.66666666666666
26	32	15	72.0
26	252	16	68.66666666666667
26	382	17	68.0
26	99	18	63.99999999999999
26	407	19	63.666666666666664
26	159	20	63.66666666666666
27	294	1	78.0
27	47	2	75.33333333333333
27	121	3	71.33333333333333
27	343	4	65.0
27	156	5	59.0
27	271	6	36.33333333333333
27	326	7	35.666666666666664
27	359	8	34.333333333333336
27	377	9	31.333333333333332
27	290	10	30.0
27	32	11	25.0
27	349	12	24.999999999999996
27	370	13	24.999999999999993
27	71	14	22.999999999999996
27	253	15	22.666666666666668
27	367	16	22.333333333333332
27	334	17	21.666666666666664
27	211	18	21.666666666666664
27	175	19	21.66666666666666
27	99	20	21.333333333333332
28	121	1	217.0
28	343	2	200.66666666666669
28	294	3	176.99999999999997
28	47	4	172.66666666666663
28	156	5	145.33333333333331
28	326	6	111.66666666666666
28	271	7	89.33333333333333
28	349	8	79.66666666666666
28	377	9	77.66666666666666
28	359	10	72.66666666666666
28	211	11	67.66666666666666
28	370	12	67.33333333333333
28	334	13	64.66666666666666
28	290	14	62.0
28	32	15	60.66666666666666
28	48	16	55.00000000000001
28	382	17	54.99999999999999
28	252	18	53.0
28	88	19	51.99999999999999
28	324	20	51.0
29	121	1	296.6666666666666
29	343	2	262.0
29	294	3	243.0
29	47	4	236.0
29	156	5	186.0
29	326	6	145.0
29	271	7	125.33333333333333
29	349	8	102.99999999999997
29	359	9	96.33333333333333
29	377	10	95.33333333333333
29	370	11	93.99999999999999
29	211	12	88.99999999999999
29	290	13	83.33333333333333
29	334	14	83.0
29	32	15	80.33333333333333
29	48	16	78.33333333333334
29	337	17	72.33333333333334
29	324	18	72.0
29	99	19	71.66666666666667
29	382	20	69.66666666666667
30	121	1	308.33333333333337
30	343	2	274.0
30	294	3	249.3333333333333
30	47	4	240.6666666666667
30	156	5	186.99999999999994
30	271	6	157.0
30	326	7	147.0
30	377	8	108.99999999999999
30	349	9	106.0
30	359	10	97.66666666666666
30	32	11	94.0
30	211	12	92.0
30	370	13	91.0
30	334	14	88.66666666666667
30	290	15	82.99999999999999
30	261	16	75.0
30	253	17	74.0
30	48	18	74.0
30	99	19	72.66666666666667
30	88	20	71.0
31	121	1	219.66666666666666
31	343	2	203.0
31	47	3	181.99999999999997
31	294	4	181.33333333333331
31	156	5	142.66666666666666
31	326	6	111.33333333333333
31	271	7	90.33333333333333
31	349	8	82.33333333333334
31	359	9	73.66666666666669
31	377	10	73.33333333333333
31	211	11	68.33333333333333
31	370	12	68.0
31	334	13	65.66666666666667
31	290	14	64.66666666666667
31	32	15	58.333333333333336
31	48	16	58.333333333333336
31	382	17	54.666666666666664
31	252	18	54.333333333333336
31	99	19	52.66666666666666
31	175	20	52.33333333333333
32	121	1	249.0
32	343	2	224.3333333333333
32	294	3	203.66666666666666
32	47	4	202.0
32	156	5	154.3333333333333
32	326	6	122.66666666666664
32	271	7	101.33333333333331
32	349	8	89.0
32	359	9	84.99999999999999
32	377	10	84.0
32	370	11	77.0
